Probe;Cycle;GPSDate;moving_average(Speed);moving_average(EngineSpeed);moving_average(Torque);moving_average(FuelRate)
100001.0;1.0;1.210737098E12;0.0;793.6;17.7;10.44
100001.0;1.0;1.210737098E12;0.0;809.6;18.6;9.48
100001.0;1.0;1.210737099E12;0.0;806.4;19.5;10.28
100001.0;1.0;1.2107371E12;0.0;803.2;19.7;10.92
100001.0;1.0;1.2107371E12;0.0;787.2;20.3;11.32
100001.0;1.0;1.210737101E12;0.0;790.4;20.6;11.32
100001.0;1.0;1.210737102E12;0.1;806.4;21.3;11.040000000000001
100001.0;1.0;1.210737103E12;0.4;806.4;21.4;10.96
100001.0;1.0;1.210737103E12;0.5;800.0;21.6;11.000000000000002
100001.0;1.0;1.210737104E12;0.6;793.6;21.7;11.0
100001.0;1.0;1.210737105E12;0.7;790.4;22.0;9.2
100001.0;1.0;1.210737105E12;0.9;771.2;21.1;10.279999999999998
100001.0;1.0;1.210737106E12;1.1;771.2;20.3;9.639999999999999
100001.0;1.0;1.210737107E12;1.4;774.4;20.2;9.399999999999999
100001.0;1.0;1.210737107E12;1.9;784.0;19.2;9.76
100001.0;1.0;1.210737108E12;2.5;780.8;18.4;10.16
100001.0;1.0;1.210737109E12;2.9;771.2;17.3;10.32
100001.0;1.0;1.210737109E12;2.9;771.2;17.2;10.32
100001.0;1.0;1.21073711E12;3.1;771.2;17.8;10.96
100001.0;1.0;1.210737111E12;3.3;771.2;17.9;11.68
100001.0;1.0;1.210737111E12;3.6;790.4;18.5;12.2
100001.0;1.0;1.210737112E12;3.9;806.4;19.3;13.679999999999998
100001.0;1.0;1.210737112E12;3.9;806.4;19.2;13.319999999999999
100001.0;1.0;1.210737113E12;3.6;780.8;20.4;16.04
100001.0;1.0;1.210737114E12;3.1;700.8;19.2;14.760000000000002
100001.0;1.0;1.210737114E12;2.5;624.0;17.6;13.760000000000002
100001.0;1.0;1.210737115E12;2.0;544.0;16.0;12.919999999999998
100001.0;1.0;1.210737116E12;1.7;464.0;14.4;12.08
100001.0;1.0;1.210737116E12;1.4;390.4;11.9;10.52
100001.0;1.0;1.210737117E12;1.1;316.8;10.1;8.92
100001.0;1.0;1.210737118E12;0.7;224.0;7.5;7.280000000000001
100001.0;1.0;1.210737119E12;0.2;131.2;5.1;4.720000000000001
100001.0;1.0;1.210737119E12;0.0;54.4;3.5;4.0
100001.0;1.0;1.21073712E12;0.0;0.0;0.6;0.0
100001.0;1.0;1.210737121E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737121E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737122E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737123E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737124E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737124E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737125E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737126E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737126E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737127E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737128E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737129E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737129E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.21073713E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737131E12;0.0;0.0;0.0;0.0
100001.0;1.0;1.210737131E12;0.0;0.0;0.0;0.0
100001.0;3.0;1.210737602E12;0.0;83.2;1.7;0.52
100001.0;3.0;1.210737602E12;0.0;163.2;3.3;1.36
100001.0;3.0;1.210737603E12;0.0;243.2;4.9;2.24
100001.0;3.0;1.210737604E12;0.0;323.2;6.5;3.0800000000000005
100001.0;3.0;1.210737604E12;0.0;403.2;8.1;3.9200000000000004
100001.0;3.0;1.210737605E12;0.0;483.2;9.7;4.76
100001.0;3.0;1.210737606E12;0.0;563.2;11.3;5.6
100001.0;3.0;1.210737607E12;0.0;643.2;12.9;7.359999999999999
100001.0;3.0;1.210737607E12;0.0;726.4;14.4;8.28
100001.0;3.0;1.210737608E12;0.0;800.0;16.8;9.48
100001.0;3.0;1.210737609E12;0.4;796.8;16.8;10.040000000000001
100001.0;3.0;1.210737609E12;1.0;822.4;16.8;10.040000000000001
100001.0;3.0;1.21073761E12;1.8;870.4;16.7;9.16
100001.0;3.0;1.210737611E12;2.3;873.6;17.1;9.8
100001.0;3.0;1.210737612E12;3.2;905.6;17.1;9.24
100001.0;3.0;1.210737612E12;4.6;944.0;17.7;9.040000000000001
100001.0;3.0;1.210737613E12;6.3;1011.2;18.9;11.68
100001.0;3.0;1.210737614E12;8.8;1136.0;19.0;10.16
100001.0;3.0;1.210737615E12;11.1;1232.0;19.9;9.24
100001.0;3.0;1.210737615E12;12.9;1296.0;19.2;8.040000000000001
100001.0;3.0;1.210737616E12;13.9;1321.6;19.0;7.000000000000002
100001.0;3.0;1.210737617E12;14.3;1292.8;18.9;6.4399999999999995
100001.0;3.0;1.210737617E12;14.2;1241.6;19.2;7.279999999999999
100001.0;3.0;1.210737618E12;14.1;1235.2;19.2;6.4399999999999995
100001.0;3.0;1.210737619E12;13.7;1216.0;19.2;7.799999999999999
100001.0;3.0;1.21073762E12;13.1;1161.6;19.5;10.04
100001.0;3.0;1.21073762E12;12.7;1116.8;18.3;6.56
100001.0;3.0;1.210737621E12;11.2;992.0;18.1;6.840000000000001
100001.0;3.0;1.210737622E12;9.8;892.8;17.3;7.5200000000000005
100001.0;3.0;1.210737622E12;8.6;832.0;17.2;9.36
100001.0;3.0;1.210737623E12;8.2;876.8;17.7;9.319999999999999
100001.0;3.0;1.210737625E12;8.7;934.4;18.3;11.2
100001.0;3.0;1.210737627E12;10.4;1059.2;19.0;11.719999999999999
100001.0;3.0;1.210737629E12;12.9;1139.2;19.7;14.6
100001.0;3.0;1.210737631E12;16.0;1238.4;20.0;14.440000000000001
100001.0;3.0;1.210737633E12;19.1;1376.0;19.5;13.040000000000001
100001.0;3.0;1.210737635E12;21.9;1491.2;19.8;13.920000000000002
100001.0;3.0;1.210737637E12;25.0;1622.4;19.9;15.080000000000002
100001.0;3.0;1.21073764E12;28.3;1763.2;20.0;14.52
100001.0;3.0;1.210737642E12;31.6;1884.8;20.8;12.68
100001.0;3.0;1.210737644E12;34.1;1913.6;21.2;12.68
100001.0;3.0;1.210737646E12;35.7;1939.2;21.5;10.52
100001.0;3.0;1.210737648E12;35.6;1852.8;20.4;9.16
100001.0;3.0;1.21073765E12;34.2;1769.6;19.3;6.160000000000001
100001.0;3.0;1.210737652E12;31.4;1654.4;18.9;5.280000000000001
100001.0;3.0;1.210737655E12;27.7;1532.8;18.4;4.4399999999999995
100001.0;3.0;1.210737657E12;23.6;1395.2;18.0;4.2
100001.0;3.0;1.210737659E12;19.5;1260.8;17.9;3.16
100001.0;3.0;1.210737661E12;15.3;1116.8;17.7;3.6799999999999997
100001.0;3.0;1.210737663E12;11.4;995.2;16.8;4.319999999999999
100001.0;3.0;1.210737665E12;7.9;892.8;15.9;4.959999999999999
100001.0;3.0;1.210737667E12;4.8;809.6;15.0;5.6
100001.0;3.0;1.21073767E12;2.5;771.2;15.1;6.239999999999999
100001.0;3.0;1.210737672E12;1.0;777.6;15.0;6.359999999999999
100001.0;3.0;1.210737674E12;0.2;777.6;15.0;6.3999999999999995
100001.0;3.0;1.210737676E12;0.0;774.4;15.0;6.3999999999999995
100001.0;3.0;1.210737678E12;0.0;774.4;15.0;6.3999999999999995
100001.0;3.0;1.21073768E12;0.0;777.6;15.0;6.3999999999999995
100001.0;3.0;1.210737682E12;0.0;780.8;15.3;6.08
100001.0;3.0;1.210737684E12;0.0;774.4;15.4;6.4
100001.0;3.0;1.210737685E12;1.1;844.8;16.0;5.76
100001.0;3.0;1.210737687E12;2.3;867.2;16.9;7.2
100001.0;3.0;1.210737689E12;3.8;908.8;17.3;7.92
100001.0;3.0;1.210737691E12;6.3;1030.4;17.7;10.24
100001.0;3.0;1.210737693E12;9.0;1094.4;18.0;10.559999999999999
100001.0;3.0;1.210737695E12;11.9;1171.2;19.4;13.12
100001.0;3.0;1.210737697E12;15.1;1267.2;20.3;16.0
100001.0;3.0;1.210737699E12;19.3;1408.0;20.6;16.12
100001.0;3.0;1.210737701E12;23.5;1548.8;20.4;17.359999999999996
100001.0;3.0;1.210737703E12;27.7;1696.0;20.7;17.759999999999998
100001.0;3.0;1.210737705E12;30.9;1772.8;20.2;18.6
100001.0;3.0;1.210737707E12;34.0;1897.6;20.5;17.6
100001.0;3.0;1.210737709E12;36.9;2006.4;20.2;16.68
100001.0;3.0;1.210737711E12;38.6;2019.2;20.8;15.520000000000001
100001.0;3.0;1.210737713E12;39.9;2083.2;20.9;15.319999999999999
100001.0;3.0;1.210737716E12;41.0;2137.6;19.9;12.959999999999999
100001.0;3.0;1.210737718E12;42.0;2185.6;20.0;12.32
100001.0;3.0;1.21073772E12;42.4;2128.0;21.0;14.720000000000002
100001.0;3.0;1.210737722E12;43.1;2083.2;21.5;15.2
100001.0;3.0;1.210737724E12;43.7;2032.0;22.0;14.4
100001.0;3.0;1.210737726E12;44.2;1977.6;22.3;15.12
100001.0;3.0;1.210737728E12;44.8;1920.0;21.6;14.520000000000001
100001.0;3.0;1.21073773E12;45.2;1859.2;21.6;14.080000000000002
100001.0;3.0;1.210737732E12;45.4;1798.4;21.5;12.28
100001.0;3.0;1.210737734E12;45.3;1724.8;21.0;11.52
100001.0;3.0;1.210737736E12;44.8;1641.6;22.0;14.24
100001.0;3.0;1.210737738E12;44.5;1555.2;21.2;13.12
100001.0;3.0;1.21073774E12;44.0;1536.0;20.4;11.28
100001.0;3.0;1.210737742E12;43.4;1510.4;20.0;10.360000000000001
100001.0;3.0;1.210737744E12;43.0;1491.2;19.0;10.16
100001.0;3.0;1.210737745E12;42.3;1465.6;18.5;8.6
100001.0;3.0;1.210737747E12;41.2;1430.4;17.9;8.120000000000001
100001.0;3.0;1.210737749E12;39.2;1353.6;17.8;8.56
100001.0;3.0;1.210737751E12;36.7;1283.2;16.9;9.000000000000002
100001.0;3.0;1.210737753E12;34.1;1228.8;17.0;9.520000000000001
100001.0;3.0;1.210737755E12;30.9;1184.0;16.5;8.4
100001.0;3.0;1.210737757E12;27.3;1168.0;16.5;8.92
100001.0;3.0;1.210737759E12;24.1;1132.8;16.2;9.68
100001.0;3.0;1.210737761E12;21.1;1100.8;17.1;11.52
100001.0;3.0;1.210737763E12;18.9;1142.4;18.3;14.319999999999999
100001.0;3.0;1.210737765E12;17.6;1152.0;19.9;18.0
100001.0;3.0;1.210737767E12;17.4;1219.2;21.4;21.919999999999998
100001.0;3.0;1.210737769E12;19.2;1372.8;22.3;23.399999999999995
100001.0;3.0;1.210737771E12;22.2;1542.4;22.3;23.359999999999996
100001.0;3.0;1.210737773E12;25.5;1699.2;23.3;22.839999999999996
100001.0;3.0;1.210737776E12;29.5;1843.2;22.8;21.16
100001.0;3.0;1.210737778E12;33.5;1942.4;23.4;18.88
100001.0;3.0;1.21073778E12;36.5;2032.0;24.0;16.799999999999997
100001.0;3.0;1.210737782E12;38.9;2099.2;23.2;14.4
100001.0;3.0;1.210737784E12;40.4;2099.2;23.0;11.239999999999998
100001.0;3.0;1.210737786E12;40.7;2099.2;22.2;7.56
100001.0;3.0;1.210737788E12;39.3;2006.4;20.7;3.6399999999999997
100001.0;3.0;1.21073779E12;35.8;1843.2;19.9;3.04
100001.0;3.0;1.210737792E12;32.0;1689.6;21.0;7.119999999999999
100001.0;3.0;1.210737794E12;29.4;1612.8;20.4;7.119999999999999
100001.0;3.0;1.210737796E12;26.8;1520.0;19.9;7.2
100001.0;3.0;1.210737798E12;24.4;1459.2;20.1;10.64
